LOTID5	WAFER_ID	PROCESS_ID_LE522600_PROCESS_ID_MAX	ET_TIME_LE522600_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	NW_Res_10x30	RVTN_0.21/0.03x7_Vtsat	RVTN_1/1_Vtlin	RVTN_Cov	RVTN_Covdd	RVTP_0.3/0.03x5_Vtsat	RVTP_1/1_Vtlin	RVTP_Cov	RVTP_Covdd	RVT_Vt_Sum	SGN_Tox_inv	SGP_Tox_inv	VPNP_Beta	date	month	date_lot
S605B	17	UXTD	28/06/2017 02:50	183.155	18.186	473.456	463.679	9.584	441.128	0.519	0.594	0.21	0.245	0.502	0.533	0.358	0.218	33.174	36.463	768.126	0.428	0.423	0.224	1.047	0.328	0.518	0.309	0.975	0.755	13.498	16.187	0.846	28	6	6/28_S605B
S605B	19	UXTD	28/06/2017 03:07			483.506	463.993	10.066	432.65	0.53	0.595	0.21	0.237	0.498	0.534	0.358	0.222	32.989	36.362		0.424	0.419	0.226	1.052	0.324	0.511	0.309	0.98		13.318	16.017		28	6	6/28_S605B
S605B	23	UXTD	28/06/2017 03:22			467.732	455.134	9.923	420.881	0.524	0.595	0.21	0.243	0.498	0.535	0.348	0.209	33.65	36.632		0.423	0.424	0.226	1.066	0.319	0.51	0.308	0.983		13.376	16.083		28	6	6/28_S605B
S62WG	12	UXTD	28/06/2017 00:46	193.787	16.54	515.381	497.426	9.661	435.563	0.524	0.587	0.206	0.235	0.508	0.539	0.375	0.211	32.053	35.252	799.992	0.439	0.421	0.214	1.021	0.308	0.514	0.298	0.947	0.748	13.482	16.236	0.833	28	6	6/28_S62WG
S62WG	13	UXTD	28/06/2017 01:48	203.283	16.413	506.414	499.3	8.814	442.786	0.524	0.588	0.208	0.245	0.515	0.542	0.372	0.197	31.992	34.97	802.925	0.442	0.421	0.216	1.013	0.321	0.518	0.299	0.946	0.767	13.481	16.145	0.829	28	6	6/28_S62WG
S62WG	18	UXTD	28/06/2017 02:05			505.095	494.628	9.249	446.152	0.513	0.575	0.207	0.25	0.517	0.542	0.37	0.198	31.813	35.15		0.436	0.415	0.211	1.015	0.311	0.511	0.294	0.951		13.451	16.118		28	6	6/28_S62WG
S62WG	21	UXTD	28/06/2017 02:21			497.138	494.12	10.636	405.151	0.518	0.577	0.211	0.244	0.514	0.544	0.364	0.218	33.033	35.956		0.43	0.42	0.223	1.036	0.316	0.519	0.301	0.967		13.514	16.123		28	6	6/28_S62WG
S643Y	1	UXTD	28/06/2017 00:26	194.257	18.53			9.476	458.165				0.239												0.346	0.518						0.835	28	6	6/28_S643Y
S643Y	5	UXTD	28/06/2017 00:43			482.469	487.284	9.475	444.126	0.512	0.59	0.206	0.251	0.522	0.547	0.354	0.238	33.022	35.9		0.43	0.416	0.22	1.044	0.348	0.526	0.305	0.968		13.443	16.111		28	6	6/28_S643Y
S643Y	9	UXTD	28/06/2017 01:01			484.3	491.684	9.488	424.258	0.517	0.591	0.207	0.243	0.522	0.544	0.365	0.223	33.227	36.023		0.42	0.42	0.224	1.051	0.333	0.53	0.304	0.966		13.453	16.103		28	6	6/28_S643Y
S643Y	10	UXTD	28/06/2017 01:27	199.639	18.781	477.663	476.5	10.033	407.915	0.516	0.594	0.208	0.252	0.52	0.54	0.355	0.221	32.987	35.573		0.426	0.416	0.222	1.039	0.3315	0.523	0.302	0.958		13.497	16.17	0.842	28	6	6/28_S643Y
S643Y	11	UXTD	28/06/2017 01:38	176.758	18.491			9.969	412.287				0.236												0.319	0.529						0.85	28	6	6/28_S643Y
S643Y	12	UXTD	28/06/2017 02:37	157.772	18.351	473.541	465.159	10.023	429.052	0.501	0.579	0.209	0.251	0.525	0.547	0.344	0.213	33.036	35.907	787.725	0.41	0.416	0.224	1.043	0.328	0.531	0.305	0.967	0.734	13.443	16.108	0.837	28	6	6/28_S643Y
S643Y	13	UXTD	28/06/2017 03:37	171.988	19.479	476.5	458.385	10.011	405.534	0.499	0.584	0.209	0.238	0.52	0.547	0.345	0.22	33.23	35.804	789.592	0.416	0.413	0.225	1.048	0.332	0.526	0.302	0.961	0.739	13.453	16.166	0.834	28	6	6/28_S643Y
S643Y	15	UXTD	28/06/2017 03:47	173.612	19.125			10.524	398.4				0.243												0.326	0.53						0.834	28	6	6/28_S643Y
S643Y	16	UXTD	28/06/2017 03:57	189.141	20.183			10.011	439.733				0.251												0.342	0.527						0.829	28	6	6/28_S643Y
S643Y	20	UXTD	28/06/2017 04:14			470.55	470.986	10.266	411.152	0.521	0.601	0.207	0.252	0.528	0.539	0.345	0.204	33.04	35.854		0.424	0.416	0.221	1.045	0.335	0.526	0.305	0.964		13.456	16.126		28	6	6/28_S643Y
S643Y	22	UXTD	28/06/2017 04:32			472.795	483.99	10.151	433.771	0.5	0.58	0.212	0.243	0.514	0.549	0.346	0.206	32.806	35.5		0.422	0.42	0.222	1.037	0.325	0.524	0.303	0.956		13.501	16.169		28	6	6/28_S643Y
S643Y	25	UXTD	28/06/2017 04:42	175.337	18.056			9.978	419.778				0.242												0.34	0.524						0.851	28	6	6/28_S643Y
S64CP	13	UXTD	28/06/2017 00:38	186.673	19.448	472.979	471.622	9.022	442.028	0.51	0.579	0.211	0.24	0.517	0.55	0.324	0.182	33.273	36.673	781.859	0.395	0.415	0.232	1.046	0.31	0.51	0.31	0.979	0.707	13.471	16.199	0.849	28	6	6/28_S64CP
S64CP	15	UXTD	28/06/2017 00:48	184.868	17.314			9.274	435.512				0.248												0.314	0.516						0.83	28	6	6/28_S64CP
S64CP	16	UXTD	28/06/2017 00:59	193.529	15.734			9.248	427.35				0.254												0.345	0.511						0.852	28	6	6/28_S64CP
S64CP	19	UXTD	28/06/2017 01:15			468.21	472.345	9.464	436.808	0.515	0.581	0.211	0.243	0.524	0.55	0.332	0.184	33.197	36.123		0.402	0.411	0.231	1.049	0.314	0.505	0.306	0.965		13.409	16.241		28	6	6/28_S64CP
S64CP	23	UXTD	28/06/2017 01:32			488.58	470.716	9.322	433.692	0.521	0.591	0.207	0.249	0.527	0.551	0.342	0.208	33.282	36.645		0.415	0.419	0.223	1.048	0.335	0.511	0.309	0.979		13.477	16.216		28	6	6/28_S64CP
S64CP	24	UXTD	28/06/2017 01:49			489.235	479.602	8.813	450.425	0.519	0.59	0.206	0.248	0.522	0.545	0.347	0.208	33.676	36.905		0.419	0.418	0.224	1.059	0.344	0.51	0.307	0.984		13.47	16.232		28	6	6/28_S64CP
S64CP	25	UXTD	28/06/2017 01:59	195.398	15.745			8.523	436.214				0.255												0.331	0.509						0.836	28	6	6/28_S64CP
S64GD	14	UXTD	28/06/2017 00:00	195.292	20.642			9.226	442.526				0.253												0.34	0.51						0.833	28	6	6/28_S64GD
S64GD	16	UXTD	28/06/2017 00:29			475.076	465.611	9.347	433.511	0.518	0.587	0.206	0.263	0.537	0.535	0.358	0.209	32.48	35.645		0.418	0.411	0.218	1.034	0.335	0.528	0.3	0.963		13.413	16.067		28	6	6/28_S64GD
S64GD	17	UXTD	28/06/2017 00:41	181.185	19.157			9.288	432.732				0.249												0.339	0.521						0.851	28	6	6/28_S64GD
S64GD	18	UXTD	28/06/2017 01:00			472.483	472.919	9.276	447.906	0.516	0.589	0.208	0.257	0.526	0.544	0.344	0.217	32.887	35.938		0.42	0.413	0.223	1.044	0.335	0.53	0.306	0.969		13.381	16.066		28	6	6/28_S64GD
S64GD	24	UXTD	28/06/2017 01:32			486.552	468.7	8.537	437.5	0.52	0.592	0.207	0.26	0.529	0.532	0.353	0.219	33.335	36.517		0.423	0.417	0.224	1.053	0.343	0.525	0.306	0.979		13.458	16.126		28	6	6/28_S64GD
S64GD	25	UXTD	28/06/2017 02:03	186.84	19.455	481.805	472.388	9.5975	447.231	0.519	0.588	0.207	0.263	0.531	0.542	0.361	0.228	32.769	35.983		0.42	0.41	0.22	1.037	0.339	0.525	0.301	0.968		13.443	16.108	0.83	28	6	6/28_S64GD
S65NA	7	UXTN	28/06/2017 20:10			526.922	514.491	8.983	441.229							0.378	0.202	32.675	36.083		0.459	0.428	0.213	1.036	0.31	0.52	0.306	0.974		13.437	16.066		28	6	6/28_S65NA
S65NA	10	UXTN	28/06/2017 20:26			530.431	498.525	9.938	408.229							0.382	0.201	32.97	36.172		0.455	0.427	0.214	1.047	0.318	0.511	0.307	0.975		13.391	16.07		28	6	6/28_S65NA
S65NA	13	UXTN	28/06/2017 21:23	205.955	13.778	522.473	508.162	8.929	421.8							0.371	0.205	32.794	36.195	771.859	0.445	0.43	0.214	1.039	0.327	0.519	0.308	0.971	0.774	13.42	16.117	0.839	28	6	6/28_S65NA
S65NA	16	UXTN	28/06/2017 21:39			516.056	497.8	8.913	416.42							0.367	0.205	33.403	36.594		0.439	0.423	0.215	1.052	0.316	0.519	0.307	0.981		13.403	16.139		28	6	6/28_S65NA
S65NA	18	UXTN	28/06/2017 21:54			494.324	498.133	9.534	424.064							0.357	0.201	33.455	36.4		0.425	0.416	0.223	1.062	0.318	0.521	0.311	0.982		13.333	16.044		28	6	6/28_S65NA
S65NA	23	UXTN	28/06/2017 22:09			496.276	495.31	9.156	431.5							0.36	0.231	34.963	37.845		0.43	0.426	0.226	1.095	0.334	0.522	0.319	1.01		13.38	16.044		28	6	6/28_S65NA
