LOTID5	PROCESS_ID_LX562150_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	WAFER_ID	D120_M1_4b_ult_PD_Idsat	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Idsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Tox_inv	EGP_2/0.45_Vtsat	EGP_2/2_Vtlin	EGP_Tox_inv	HVN_AS_10/2.6x1_Vtsat	HVP_S_10/2x1_Vtsat	HVTN_0.21/0.03x7_Vtsat	HVTN_1/1_Vtlin	HVTN_Cov	HVTN_Covdd	HVTP_0.3/0.03x5_Vtsat	HVTP_1/1_Vtlin	HVTP_Cov	HVTP_Covdd	Leff_N	Leff_P	SGN_Tox_inv	SGP_Tox_inv	UMVN_10/10x1_Vtlin	UMVP_10/10x1_Vtlin	date	month	date_lot
S60RX	UXU3	01/07/2017 19:51	13							0.527	0.56	36.322	0.48	0.553	40.681	0.9	1.063	0.477	0.419	0.214	1.055	0.384	0.519	0.287	0.968	24.042	18.412	13.265	16.213	0.89	0.883	1	7	7/01_S60RX
S60RX	UXU3	01/07/2017 20:16	23							0.507	0.549	35.977		0.562	40.358			0.475	0.414	0.213		0.382	0.531	0.283				13.375	16.413	0.901	0.891	1	7	7/01_S60RX
S60T2	UXU3	01/07/2017 03:48	7	40.338	0.482	37.721	0.482	9.021	0.48	0.519	0.545	36.063		0.558	40.436			0.481	0.414	0.218		0.419	0.525	0.285				13.409	16.216	0.916	0.883	1	7	7/01_S60T2
S60T2	UXU3	01/07/2017 04:10	8	38.91	0.488	36.109	0.484	9.108	0.473	0.519	0.555	36.049		0.546	40.405			0.498	0.424	0.212		0.411	0.53	0.289				13.409	16.154	0.919	0.877	1	7	7/01_S60T2
S60T2	UXU3	01/07/2017 04:35	9							0.52	0.546	35.923		0.551	40.238			0.469	0.404	0.221		0.418	0.518	0.293				13.239	16.062	0.914	0.875	1	7	7/01_S60T2
S60T2	UXU3	01/07/2017 05:57	13							0.526	0.557	36.624	0.488	0.559	40.886	0.895	1.051	0.484	0.415	0.217	1.067	0.412	0.53	0.289	0.976	24.53	18.718	13.368	16.207	0.911	0.88	1	7	7/01_S60T2
S60T2	UXU3	01/07/2017 06:20	17	39.077	0.499	38.054	0.477	9.801	0.476	0.521	0.552	36.14		0.559	40.788			0.474	0.41	0.218		0.402	0.521	0.284				13.322	16.122	0.904	0.878	1	7	7/01_S60T2
S60T2	UXU3	01/07/2017 06:42	18	38.575	0.498	35.42	0.488	9.147	0.482	0.524	0.557	36.116		0.553	40.559			0.492	0.424	0.219		0.42	0.533	0.293				13.426	16.176	0.911	0.876	1	7	7/01_S60T2
S61WZ	UXU6	01/07/2017 08:34	1							0.519	0.552	35.605	0.444	0.517	40.094	0.869	1.097	0.481	0.42	0.21	1.052	0.385	0.521	0.274	0.955	24.405	19.304	13.378	16.288	0.895	0.887	1	7	7/01_S61WZ
S63B1	UXU6	01/07/2017 04:51	3																									13.372	16.152			1	7	7/01_S63B1
